AKITA,38.1100
AOMORI,35.6300
CHIBA,65.9900
FUKUI,48.7700
FUKUOKA,65.7500
FUKUSHIMA,52.7900
GIFU,64.2900
HIKONE,56.3700
HIROSHIMA,65.0200
KAGOSHIMA,49.7200
KANAZAWA,40.7400
KOBE,73.9000
KOCHI,63.1900
KOFU,66.1400
KUMAGAYA,65.2800
KUMAMOTO,62.1000
KYOTO,62.6700
MAEBASHI,65.8500
MATSUE,51.5200
MATSUYAMA,67.8900
MITO,56.1300
MIYAZAKI,54.4200
MORIOKA,39.6200
NAGANO,49.1200
NAGASAKI,62.3200
NAGOYA,65.6100
NAHA,32.1100
NARA,54.1000
NIIGATA,53.5100
OITA,64.4300
OKAYAMA,68.1000
OSAKA,74.7700
SAGA,59.9000
SAPPORO,40.8600
SENDAI,52.3400
SHIZUOKA,71.5000
TAKAMATSU,69.6800
TOKUSHIMA,65.6900
TOKYO,74.0300
TOTTORI,48.2600
TOYAMA,47.5500
TSU,66.8200
UTSUNOMIYA,54.3700
WAKAYAMA,67.7800
YAMAGATA,45.9700
YAMAGUCHI,57.9600
YOKOHAMA,55.9300
