AKITA,12.8
AOMORI,11.6
CHIBA,17.0
FUKUI,15.6
FUKUOKA,17.9
FUKUSHIMA,14.1
GIFU,17.0
HIKONE,15.8
HIROSHIMA,17.1
KAGOSHIMA,19.2
KANAZAWA,12.4
KOBE,17.6
KOCHI,17.8
KOFU,15.9
KUMAGAYA,16.2
KUMAMOTO,17.6
KYOTO,17.0
MAEBASHI,15.8
MATSUE,15.8
MATSUYAMA,17.3
MITO,15.0
MIYAZAKI,18.3
MORIOKA,11.4
NAGANO,13.1
NAGASAKI,17.7
NAGOYA,17.0
NAHA,23.8
NARA,16.3
NIIGATA,14.7
OITA,17.4
OKAYAMA,16.5
OSAKA,17.7
SAGA,17.5
SAPPORO,10.0
SENDAI,13.7
SHIZUOKA,17.8
TAKAMATSU,17.4
TOKUSHIMA,17.5
TOKYO,16.5
TOTTORI,15.9
TOYAMA,15.4
TSU,17.1
UTSUNOMIYA,15.0
WAKAYAMA,17.5
YAMAGATA,13.0
YAMAGUCHI,16.1
YOKOHAMA,13.8
