AKITA,4.1
AOMORI,3.8
CHIBA,3.9
FUKUI,2.7
FUKUOKA,2.8
FUKUSHIMA,2.4
GIFU,2.7
HIKONE,2.9
HIROSHIMA,3.3
KAGOSHIMA,3.4
KANAZAWA,3.9
KOBE,3.7
KOCHI,1.8
KOFU,2.2
KUMAGAYA,2.4
KUMAMOTO,2.1
KYOTO,2.2
MAEBASHI,2.5
MATSUE,3.3
MATSUYAMA,2.2
MITO,2.4
MIYAZAKI,3.2
MORIOKA,2.8
NAGANO,2.5
NAGASAKI,2.3
NAGOYA,3.1
NAHA,5.3
NARA,2.1
NIIGATA,3.1
OITA,2.7
OKAYAMA,3.0
OSAKA,2.4
SAGA,3.2
SAPPORO,3.3
SENDAI,3.0
SHIZUOKA,2.2
TAKAMATSU,2.4
TOKUSHIMA,3.1
TOKYO,3.0
TOTTORI,3.1
TOYAMA,2.9
TSU,3.3
UTSUNOMIYA,3.0
WAKAYAMA,3.9
YAMAGATA,1.9
YAMAGUCHI,1.9
YOKOHAMA,3.7
